Economy,2017,Schizophrenia (%),Bipolar disorder (%),Eating disorders (%),Anxiety disorders (%),Depression (%)
Afghanistan,635.789,0.166157851965,0.708088873434999,0.107142265558,4.88248127473,4.13634710028
Albania,4525.887,0.201025478973,0.704479655103,0.174046095006,3.38524453734,2.20841419824
Algeria,4014.707,0.197913139914999,0.818687152645,0.213612216088,5.06587568443,3.66109449605
Andorra,40017.741,0.263512450809,0.963331292926,0.644558566578,5.30537469297,3.72953168612
Angola,4039.3,0.17279380396,0.623903582497,0.173642511006,3.29690630279,4.16048419728
Antigua and Barbuda,15686.747,0.206408818879999,0.925268968309,0.350367843984,4.60482344264,2.55796305238
Argentina,14618.327,0.19809369227,0.773376024046,0.404033163099,6.28367786059999,3.66548827189999
Armenia,3868.906,0.197364768091,0.717591362749,0.167047141359999,2.59281282375,2.75458269616
Australia,55804.163,0.363326333425,1.1420970115,0.943081003971999,6.58430117714,4.62388098607
Austria,47320.537,0.256957852233,0.93979417437,0.675111961603,5.34127539525,3.2609699942
Azerbaijan,4217.653,0.199997827826,0.689806923974,0.204891197681,2.5831567362,2.59229296217
Bahrain,23631.585,0.206968624015999,0.836822158798,0.273714301731,4.67330435973,3.87910515284
Bangladesh,1839.755,0.252599547699,0.583419095880999,0.137974267122,4.28398850162,4.11061130998999
Barbados,17435.312,0.229385586889,0.919956254648,0.320598997921,4.66304408878999,2.76332220362
Belarus,5778.564,0.197650078792999,0.699677096504,0.210693402008,2.94693198625,4.02222608312
Belgium,44274.073,0.258072602791,0.947158849539,0.603868895678,5.21264464436,4.10918615476
Belize,5894.291,0.194921776429,0.881646522984,0.258710442087,4.56854773198,2.83866680821
Benin,1094.888,0.170321752983999,0.640205752532,0.120290320775999,2.90529373064,3.62989898914
Bhutan,3137.633,0.267637210022,0.595887021542,0.172339624531,3.80143151955,3.43933373821999
Bolivia,3388.523,0.193935503544,0.854218133609,0.305250563203999,4.2436251608,3.08590479324
Bosnia and Herzegovina,5230.13,0.20070295069,0.718189697692,0.172474446404,3.4026360848,2.3196099561
Botswana,6705.341,0.181927802991,0.638942608735,0.227732855648,3.5063390343,3.96812945655
Brazil,10419.576,0.205534039798,1.10691471224,0.277050765272,6.06917950422,3.29736759001
Bulgaria,8414.389,0.202455336778,0.630776128787,0.202411206361,3.58752080113999,2.54314069114
Burkina Faso,714.64,0.164744558656,0.622073534636,0.113354225407,2.90023899431,3.6942535918
Burundi,291.859,0.154394080898,0.613041852212,0.0908023408812,3.58576009808999,3.72122770632
Cambodia,1448.02,0.208266148232,0.509922388331,0.108378572317,3.28974518826,3.09494529697999
Cameroon,1468.929,0.170795518611,0.628202386552,0.133790101708,2.90866265178,3.74564654244
Canada,45191.993,0.315588104492,0.716413353796,0.477304277231,5.17821839452,3.98879207345
Central African Republic,450.744,0.149087097362,0.593029711716999,0.0891832048568,3.24999016614,4.2117282286
Chad,671.18,0.168019370423,0.626774721351,0.122128893812999,2.88704925028,3.87483743869
Chile,15003.77,0.201430396901,0.790591416643,0.416122857107999,6.27208431335,4.05772314199999
Colombia,6577.287,0.207210793076,0.768913491185,0.260257216714,2.51480277253,2.19615411587999
Comoros,1300.566,0.170251722541,0.659469464827,0.110911467084999,3.64987700162,3.33011431331
Costa Rica,12185.259,0.213890053455,0.843752675288,0.289341841884,2.93682933508,2.90478753344
Croatia,13556.318,0.207565417697999,0.720555576168,0.217975135979,3.44760593314,2.77984173234
Cyprus,26834.665,0.252271953776,0.937285429366,0.506721279036,5.30490840366,3.32811079018
Czech Republic,20605.825,0.20998906177,0.721569535067,0.242372761022,3.44360099073,2.67538746628
Denmark,57772.553,0.254016902974,1.00549354065999,0.540025324966,5.31463454993,3.29188532482
Djibouti,2926.153,0.175443945619,0.657574537076,0.136660105677,3.57064967671,3.60901012937
Dominica,7507.368,0.199904066276,0.888732141375,0.277126535179,4.54490373452,2.62964873616
Dominican Republic,7874.941,0.199461740299,0.891063093686,0.303058121152,4.55830898989,2.97852252642
Ecuador,6216.606,0.202911590059,0.882945345959,0.363732807614,4.30535715908,2.97711725822
Egypt,2592.707,0.188117075278999,0.775826260364,0.19294203792,4.36102280717,3.23818185168
El Salvador,3986.018,0.197831002875,0.770584701282,0.243873188283,2.94522037622,3.02588721657
Equatorial Guinea,9624.532,0.18533360608,0.623349903615,0.277336567698,3.27899059312999,4.16708998551
Eritrea,557.857,0.158711073736,0.617568776716,0.102502520428,3.66566807955,3.86737670292999
Estonia,20430.567,0.203977642902,0.708240561777,0.250270742469,2.96224376542,3.84885421123
Ethiopia,822.704,0.164823052944,0.627391281004,0.109816928768,3.73199716771,3.8162659691
Fiji,6049.889,0.238571847376,0.452605477544,0.147252649755,3.28244749356,3.17189809853
Finland,46437.211,0.257444377924,1.00582625676,0.594937626869,3.7520618778,4.79273560626
France,40134.128,0.256237904708,0.958198977579999,0.573755286605,6.62671021127,4.25380726277
Gabon,7370.349,0.181545884718,0.638332502289,0.226577373688,3.29951225121,4.04902903406
Georgia,4358.594,0.196775607848999,0.709098566875999,0.171640059024,2.60245566113,2.79737866325
Germany,44636.833,0.252269313545,0.776761886254,0.522066337436999,6.5404958034,3.95986609184
Ghana,2086.598,0.175605914654,0.64309920164,0.147451582312999,2.9364162809,3.39664668903
Greece,18552.181,0.252700836389,0.948926106734,0.559323569808,5.79022794527,4.18586369919
Grenada,10152.834,0.199821963506,0.893647257052,0.288173878252,4.53009540432,2.77006562469
Guatemala,4234.379,0.193343638198,0.743331657827,0.232110380606,2.90694665082,3.21602516868
Guinea,796.038,0.166392762237999,0.629857427048999,0.112388230779,2.90130428731,3.56093291107
Guinea-Bissau,864.141,0.163117115414999,0.614791355523,0.110998627272,2.915176813,3.66543039362
Guyana,6104.158,0.186468100603,0.846088490416,0.237636118540999,4.54702700731,4.14172362073
Haiti,1337.16,0.172298258053,0.801382123092999,0.160789636446,4.51842534053,2.95778209292
Honduras,2451.936,0.189815205978,0.752072348523,0.20333887837,2.87555135457999,2.75230112491
Hungary,14606.266,0.205524223022,0.703435450686,0.237686389914,3.45465662542999,2.76524217857
Iceland,73085.132,0.257616535208,0.971121594897999,0.558013746386,5.29098780078,3.36166521167999
India,1957.97,0.257864000572999,0.557111560367,0.157758124999,3.30193892533,3.52985259667999
Indonesia,3885.465,0.230297325067,0.540591105822,0.148781505161,3.28021979232999,2.64273567514
Iran,6005.051,0.201307454514,0.815760125571,0.231894488144,6.90089993355999,5.11634462915
Iraq,5178.921,0.1897286051,0.666430858946,0.208672060932,4.72267334105,3.89116288663
Ireland,69864.671,0.328007666524999,0.805431962490999,0.55999469536,5.83909248469,4.25092099742
Israel,40603.843,0.25913933072,0.924802466802,0.461175310548,3.06307807287,3.8322207094
Italy,32648.756,0.236197452312,0.946257130865,0.626783642641999,5.62612106505,3.46425611654999
Jamaica,5413.03,0.199270486805999,0.927605100268,0.259650413718,4.57752755949,2.59238455271
Japan,38903.298,0.295577743427,0.688353608244,0.45437860865,3.56905428488,3.34156463103
Jordan,4257.908,0.19388561947,0.811332175524999,0.188925295652,4.8883502964,3.56360229131
Kazakhstan,9186.712,0.199892478404,0.667337985516,0.227917724331,2.60780551267,3.51177487949
