Code,Ranking,Economy,GDP(2022)
CHN,2.0,China,17963171.0
JPN,3.0,Japan,4231141.0
DEU,4.0,Germany,4072192.0
IND,5.0,India,3385090.0
GBR,6.0,United Kingdom,3070668.0
FRA,7.0,France,2782905.0
RUS,8.0,Russian Federation,2240422.0
CAN,9.0,Canada,2139840.0
ITA,10.0,Italy,2010432.0
BRA,11.0,Brazil,1920096.0
AUS,12.0,Australia,1675419.0
KOR,13.0,"Korea, Rep.",1665246.0
MEX,14.0,Mexico,1414187.0
ESP,15.0,Spain,1397509.0
IDN,16.0,Indonesia,1319100.0
SAU,17.0,Saudi Arabia,1108149.0
NLD,18.0,Netherlands,991115.0
TUR,19.0,Türkiye,905988.0
CHE,20.0,Switzerland,807706.0
POL,21.0,Poland,688177.0
ARG,22.0,Argentina,632770.0
SWE,23.0,Sweden,585939.0
NOR,24.0,Norway,579267.0
BEL,25.0,Belgium,578604.0
CUB,26.0,Cuba,545218.0
IRL,27.0,Ireland,529245.0
ISR,28.0,Israel,522033.0
ARE,29.0,United Arab Emirates,507535.0
THA,30.0,Thailand,495341.0
NGA,31.0,Nigeria,477386.0
EGY,32.0,"Egypt, Arab Rep.",476748.0
AUT,33.0,Austria,471400.0
SGP,34.0,Singapore,466789.0
BGD,35.0,Bangladesh,460201.0
VNM,36.0,Vietnam,408802.0
MYS,37.0,Malaysia,406306.0
ZAF,38.0,South Africa,405870.0
PHL,39.0,Philippines,404284.0
DNK,40.0,Denmark,395404.0
IRN,41.0,"Iran, Islamic Rep.",388544.0
PAK,42.0,Pakistan,376533.0
HKG,43.0,"Hong Kong SAR, China",359839.0
COL,44.0,Colombia,343939.0
ROU,45.0,Romania,301262.0
CHL,46.0,Chile,301025.0
CZE,47.0,Czech Republic,290924.0
FIN,48.0,Finland,280826.0
IRQ,49.0,Iraq,264182.0
PRT,50.0,Portugal,251945.0
NZL,51.0,New Zealand,247234.0
PER,52.0,Peru,242632.0
QAT,53.0,Qatar,237296.0
KAZ,54.0,Kazakhstan,220623.0
GRC,55.0,Greece,219066.0
DZA,56.0,Algeria,191913.0
KWT,57.0,Kuwait,184558.0
HUN,58.0,Hungary,178789.0
UKR,59.0,Ukraine,160503.0
MAR,60.0,Morocco,134182.0
ETH,61.0,Ethiopia,126783.0
SVK,62.0,Slovak Republic,115469.0
ECU,63.0,Ecuador,115049.0
OMN,64.0,Oman,114667.0
DOM,65.0,Dominican Republic,113642.0
PRI,66.0,Puerto Rico,113435.0
KEN,67.0,Kenya,113420.0
AGO,68.0,Angola,106714.0
GTM,69.0,Guatemala,95003.0
BGR,70.0,Bulgaria,89040.0
LUX,71.0,Luxembourg,82275.0
UZB,72.0,Uzbekistan,80392.0
AZE,73.0,Azerbaijan,78721.0
PAN,74.0,Panama,76523.0
TZA,75.0,Tanzania,75709.0
LKA,76.0,Sri Lanka,74404.0
GHA,77.0,Ghana,72839.0
BLR,78.0,Belarus,72793.0
URY,79.0,Uruguay,71177.0
HRV,80.0,Croatia,70965.0
LTU,81.0,Lithuania,70334.0
CIV,82.0,Côte d'Ivoire,70019.0
CRI,83.0,Costa Rica,68381.0
SRB,84.0,Serbia,63502.0
SVN,85.0,Slovenia,62118.0
MMR,86.0,Myanmar,59364.0
COD,87.0,"Congo, Dem. Rep.",58066.0
SDN,88.0,Sudan,51662.0
JOR,89.0,Jordan,47451.0
TUN,90.0,Tunisia,46665.0
LBY,91.0,Libya,45752.0
TKM,92.0,Turkmenistan,45611.0
UGA,93.0,Uganda,45559.0
BHR,94.0,Bahrain,44391.0
CMR,95.0,Cameroon,44342.0
BOL,96.0,Bolivia,43069.0
PRY,97.0,Paraguay,41722.0
LVA,98.0,Latvia,41154.0
NPL,99.0,Nepal,40828.0
EST,100.0,Estonia,38101.0
SLV,101.0,El Salvador,32489.0
HND,102.0,Honduras,31718.0
PNG,103.0,Papua New Guinea,30633.0
KHM,104.0,Cambodia,29957.0
ZMB,105.0,Zambia,29784.0
CYP,106.0,Cyprus,28439.0
TTO,107.0,Trinidad and Tobago,27899.0
ISL,108.0,Iceland,27842.0
SEN,109.0,Senegal,27684.0
GEO,110.0,Georgia,24605.0
BIH,111.0,Bosnia and Herzegovina,24528.0
LBN,112.0,Lebanon,23132.0
MAC,113.0,"Macao SAR, China",21979.0
GIN,114.0,Guinea,21228.0
GAB,115.0,Gabon,21072.0
ZWE,116.0,Zimbabwe,20678.0
BWA,117.0,Botswana,20352.0
HTI,118.0,Haiti,20254.0
