Eating disorders (%),Income group,average_learning_Adjusted_of_school,Continent,GDP_per_capita
Low,1,4.957541966666667,1,3309.844
Low,1,4.957541966666667,1,3309.844
Low,1,4.957541966666667,1,3309.844
Low,1,4.957541966666667,1,3309.844
Low,1,4.957541966666667,1,3309.844
Low,1,4.957541966666667,1,3309.844
Low,1,4.957541966666667,1,3309.844
Low,1,4.957541966666667,1,3309.844
Low,1,4.957541966666667,1,3309.844
Low,1,4.957541966666667,1,3309.844
Low,1,4.957541966666667,1,3309.844
Low,1,4.957541966666667,1,3309.844
Low,1,4.957541966666667,1,233.433
Low,1,4.957541966666667,1,233.755
Low,1,4.957541966666667,1,254.259
Low,1,4.957541966666667,1,294.396
Low,1,4.957541966666667,1,320.674
Low,1,4.957541966666667,1,381.502
Low,1,4.957541966666667,1,447.746
Low,1,4.957541966666667,1,511.374
Low,1,4.957541966666667,1,631.49
Low,1,4.957541966666667,1,714.7
Low,1,4.957541966666667,1,784.611
Low,1,4.957541966666667,1,754.402
Low,1,4.957541966666667,1,746.922
Low,1,4.957541966666667,1,705.597
Low,1,4.957541966666667,1,617.126
Low,1,4.957541966666667,1,635.789
Low,3,8.52672295,2,675.736
Low,3,8.52672295,2,408.022
Low,3,8.52672295,2,259.75
Low,3,8.52672295,2,452.623
Low,3,8.52672295,2,736.028
Low,3,8.52672295,2,903.989
Low,3,8.52672295,2,1009.967
Low,3,8.52672295,2,717.381
Low,3,8.52672295,2,818.32
Low,3,8.52672295,2,1032.264
Low,3,8.52672295,2,1127.64
Low,3,8.52672295,2,1283.573
Low,3,8.52672295,2,1425.125
Low,3,8.52672295,2,1846.119
Low,3,8.52672295,2,2373.58
Low,3,8.52672295,2,2673.773
Low,3,8.52672295,2,2972.745
Low,3,8.52672295,2,3595.053
Low,3,8.52672295,2,4370.562
Low,3,8.52672295,2,4114.09
Low,3,8.52672295,2,4097.833
Low,3,8.52672295,2,4439.89
Low,3,8.52672295,2,4248.909
Low,3,8.52672295,2,4415.6
Low,3,8.52672295,2,4584.919
Low,3,8.52672295,2,3953.611
Low,3,8.52672295,2,4124.405
Low,3,8.52672295,2,4525.887
High,2,7.0454454,0,2473.512
High,2,7.0454454,0,1819.984
High,2,7.0454454,0,1873.422
High,2,7.0454454,0,1894.946
High,2,7.0454454,0,1542.974
High,2,7.0454454,0,1499.143
High,2,7.0454454,0,1643.265
High,2,7.0454454,0,1658.732
High,2,7.0454454,0,1633.09
High,2,7.0454454,0,1630.071
High,2,7.0454454,0,1794.695
High,2,7.0454454,0,1768.577
High,2,7.0454454,0,1806.86
High,2,7.0454454,0,2128.386
High,2,7.0454454,0,2636.479
High,2,7.0454454,0,3141.027
High,2,7.0454454,0,3508.959
High,2,7.0454454,0,3986.564
High,2,7.0454454,0,4943.502
High,2,7.0454454,0,3890.524
High,2,7.0454454,0,4480.719
High,2,7.0454454,0,5447.6
High,2,7.0454454,0,5575.653
High,2,7.0454454,0,5477.055
High,2,7.0454454,0,5466.329
High,2,7.0454454,0,4153.322
High,2,7.0454454,0,3918.941
High,2,7.0454454,0,4014.707
High,0,7.8559139,2,3309.844
High,0,7.8559139,2,3309.844
High,0,7.8559139,2,3309.844
High,0,7.8559139,2,3309.844
High,0,7.8559139,2,3309.844
High,0,7.8559139,2,3309.844
High,0,7.8559139,2,3309.844
High,0,7.8559139,2,3309.844
High,0,7.8559139,2,3309.844
High,0,7.8559139,2,3309.844
High,0,7.8559139,2,3309.844
High,0,7.8559139,2,3309.844
High,0,7.8559139,2,3309.844
High,0,7.8559139,2,3309.844
High,0,7.8559139,2,3309.844
High,0,7.8559139,2,3309.844
High,0,7.8559139,2,3309.844
High,0,7.8559139,2,3309.844
High,0,7.8559139,2,3309.844
High,0,7.8559139,2,3309.844
High,0,7.8559139,2,49030.229
High,0,7.8559139,2,51957.313
High,0,7.8559139,2,45713.97
High,0,7.8559139,2,45630.195
High,0,7.8559139,2,46299.282
High,0,7.8559139,2,38877.485
High,0,7.8559139,2,39595.317
High,0,7.8559139,2,40017.741
Low,2,4.193318466666667,0,1062.788
Low,2,4.193318466666667,0,996.472
Low,2,4.193318466666667,0,743.754
Low,2,4.193318466666667,0,522.991
Low,2,4.193318466666667,0,368.84
Low,2,4.193318466666667,0,445.424
Low,2,4.193318466666667,0,555.75
Low,2,4.193318466666667,0,631.28
Low,2,4.193318466666667,0,517.868
Low,2,4.193318466666667,0,474.186
Low,2,4.193318466666667,0,681.129
Low,2,4.193318466666667,0,645.145
Low,2,4.193318466666667,0,872.658
Low,2,4.193318466666667,0,982.806
Low,2,4.193318466666667,0,1254.696
Low,2,4.193318466666667,0,1900.724
Low,2,4.193318466666667,0,2597.964
Low,2,4.193318466666667,0,3121.349
Low,2,4.193318466666667,0,4081.718
Low,2,4.193318466666667,0,3123.699
Low,2,4.193318466666667,0,3586.664
Low,2,4.193318466666667,0,4608.155
Low,2,4.193318466666667,0,5083.827
Low,2,4.193318466666667,0,5228.511
Low,2,4.193318466666667,0,5371.217
Low,2,4.193318466666667,0,4130.93
Low,2,4.193318466666667,0,3468.518
Low,2,4.193318466666667,0,4039.3
High,0,8.268953,3,7623.434
High,0,8.268953,3,7927.588
High,0,8.268953,3,8084.427
High,0,8.268953,3,8474.038
High,0,8.268953,3,9097.243
High,0,8.268953,3,8675.237
High,0,8.268953,3,9266.473
High,0,8.268953,3,9678.32
High,0,8.268953,3,10074.75
High,0,8.268953,3,10349.52
High,0,8.268953,3,10931.312
High,0,8.268953,3,10411.422
High,0,8.268953,3,10485.776
High,0,8.268953,3,10921.845
High,0,8.268953,3,11613.334
High,0,8.268953,3,12785.872
High,0,8.268953,3,14317.674
